resource_id,title,filename,volume_code,reason,candidates
1,从教心得,2d7721bb0e654b7c9f2fb2e8fdb52d92.docx,bx1,模型置信度较低，建议人工确认章节,bx1-1.1:运动的描述:0.3333 | bx1-1.2:匀变速直线运动:0.3333 | bx1-1.3:力与相互作用:0.3333
2,从教心得,7f0bf269bc7146db8da395d040aa8135.docx,bx1,模型置信度较低，建议人工确认章节,bx1-1.1:运动的描述:0.3333 | bx1-1.2:匀变速直线运动:0.3333 | bx1-1.3:力与相互作用:0.3333
3,从教心得,75689e7a08a24eb6bdb57d80f057c260.docx,bx1,模型置信度较低，建议人工确认章节,bx1-1.1:运动的描述:0.3333 | bx1-1.2:匀变速直线运动:0.3333 | bx1-1.3:力与相互作用:0.3333
4,从教心得,49a9aed6644e4d3b99dae5991b2b53de.docx,bx1,模型置信度较低，建议人工确认章节,bx1-1.1:运动的描述:0.3333 | bx1-1.2:匀变速直线运动:0.3333 | bx1-1.3:力与相互作用:0.3333
5,力学复习,628a63826f9b4e10adcb1dacebd7e744.pdf,xbx3,模型置信度较低，建议人工确认章节,xbx3-5.2:热力学定律与能量:0.3917 | bx1-1.1:运动的描述:0.3041 | bx1-1.2:匀变速直线运动:0.3041
6,力学复习,15e39f92f1b143aeb3bb9985c63f1fe4.pdf,xbx3,模型置信度较低，建议人工确认章节,xbx3-5.2:热力学定律与能量:0.3917 | bx1-1.1:运动的描述:0.3041 | bx1-1.2:匀变速直线运动:0.3041
7,二次函数导学,e85be713bf4f4f6ab6d88886cb28710d.md,bx1,模型置信度较低，建议人工确认章节,bx1-1.3:幂函数、指数函数、对数函数:0.3353 | bx1-1.2:函数概念与性质:0.3324 | bx1-3.1:函数综合与导数:0.3324
8,力学复习,adbb1c0e502c4dfd99176ca2c4e2f3a4.pdf,xbx3,模型置信度较低，建议人工确认章节,xbx3-5.2:热力学定律与能量:0.3917 | bx1-1.1:运动的描述:0.3041 | bx1-1.2:匀变速直线运动:0.3041
9,Word示例,8ac2bc10a14b45bc9cad25b4894091f9.docx,bx1,模型置信度较低，建议人工确认章节,bx1-1.1:集合与常用逻辑用语:0.3333 | bx1-1.2:函数概念与性质:0.3333 | bx1-1.3:幂函数、指数函数、对数函数:0.3333
10,Excel示例,b9d8435cadf3420fbdd75b76c58d1e81.xlsx,bx1,模型置信度较低，建议人工确认章节,bx1-1.1:集合与常用逻辑用语:0.3333 | bx1-1.2:函数概念与性质:0.3333 | bx1-1.3:幂函数、指数函数、对数函数:0.3333
11,PPT示例,bbf682dcfd2f4e488c5754d7f9446f6c.pptx,bx1,模型置信度较低，建议人工确认章节,bx1-1.1:集合与常用逻辑用语:0.3333 | bx1-1.2:函数概念与性质:0.3333 | bx1-1.3:幂函数、指数函数、对数函数:0.3333
13,力学复习,7ff1ae3c9a6a48ee8a099dddfcc028a6.pdf,xbx3,模型置信度较低，建议人工确认章节,xbx3-5.2:热力学定律与能量:0.3917 | bx1-1.1:运动的描述:0.3041 | bx1-1.2:匀变速直线运动:0.3041
24,异步AI测试-1772011866,1a3077886d244a5483dd4d076f6d16ce.md,bx1,模型置信度较低，建议人工确认章节,bx1-1.4:牛顿运动定律:0.3439 | xbx3-5.2:热力学定律与能量:0.3427 | xbx2-4.1:静电场:0.3134
